,Region,Label
0,CH_0,1
1,CH_1,1
2,CH_100,1
3,CH_101,1
4,CH_102,3
5,CH_103,3
6,CH_104,3
7,CH_105,1
8,CH_106,1
9,CH_11,0
10,CH_12,0
11,CH_13,0
12,CH_14,1
13,CH_16,1
14,CH_17,1
15,CH_18,1
16,CH_19,1
17,CH_2,0
18,CH_20,0
19,CH_21,0
20,CH_22,0
21,CH_23,1
22,CH_24,1
23,CH_25,1
24,CH_26,0
25,CH_27,1
26,CH_28,1
27,CH_29,4
28,CH_3,0
29,CH_30,4
30,CH_31,4
31,CH_32,0
32,CH_33,0
33,CH_34,0
34,CH_35,0
35,CH_36,1
36,CH_37,1
37,CH_38,4
38,CH_39,4
39,CH_4,0
40,CH_40,4
41,CH_41,4
42,CH_42,0
43,CH_43,0
44,CH_44,0
45,CH_45,1
46,CH_46,1
47,CH_47,4
48,CH_48,4
49,CH_49,4
50,CH_5,1
51,CH_50,4
52,CH_51,2
53,CH_52,2
54,CH_53,0
55,CH_54,1
56,CH_55,1
57,CH_56,1
58,CH_57,1
59,CH_58,4
60,CH_59,2
61,CH_6,1
62,CH_60,2
63,CH_61,2
64,CH_62,2
65,CH_63,1
66,CH_64,1
67,CH_65,1
68,CH_66,1
69,CH_67,1
70,CH_68,2
71,CH_69,2
72,CH_7,1
73,CH_70,2
74,CH_71,2
75,CH_72,1
76,CH_73,1
77,CH_74,1
78,CH_75,1
79,CH_76,1
80,CH_77,1
81,CH_78,2
82,CH_79,2
83,CH_80,2
84,CH_81,1
85,CH_82,1
86,CH_83,1
87,CH_84,3
88,CH_85,3
89,CH_86,3
90,CH_87,1
91,CH_88,1
92,CH_89,2
93,CH_90,1
94,CH_91,1
95,CH_92,1
96,CH_93,3
97,CH_94,3
98,CH_95,3
99,CH_96,1
100,CH_97,1
101,CH_98,2
